"Informazioni cronologiche","Qual è il tuo corso di laurea in informatica?","Considerando l'immagine di seguito come valuteresti la leggibilità su una scala da 1 a 5 ?","Considerando l'immagine di seguito come valuteresti la leggibilità su una scala da 1 a 5 ?","Considerando l'immagine di seguito riusciresti a definire quale feature (caratteristica o proprietà individuale e misurabile) è più rilevante?","Potresti spiegare con una breve argomentazione il motivo della scelta della risposta precedente?","Considerando l'immagine di seguito riusciresti a definire quale feature (caratteristica o proprietà individuale e misurabile) è più rilevante?","Potresti spiegare con una breve argomentazione il motivo della scelta della risposta precedente?","Considerando l'immagine di seguito su una scala da 1 a 5 quanto riusciresti ad identificare a cosa sono associati i colori nel grafico?","Potresti spiegare con una breve argomentazione il motivo della scelta della risposta precedente?","Considerando l'immagine di seguito come valuteresti la chiarezza delle informazioni su una scala da 1 a 5 ?","Considerando l'immagine di seguito come valuteresti la chiarezza delle informazioni su una scala da 1 a 5 ?","Quanto valuteresti rilevante su una scala da 1 a 5 l'utilizzo del grafico rappresentato nell'immagine sottostante per spiegare una predizione?","Quanto valuteresti rilevante su una scala da 1 a 5 l'utilizzo del grafico rappresentato nell'immagine sottostante per spiegare una predizione?","Pensi sia stato utile questo questionario per rilevare il grado di spiegabilità delle librerie prese in considerazione? Scrivi le tue osservazioni e considerazioni"
"2023/05/05 6:22:34 PM EEST","Magistrale","2","4","feature 6","è quella dal valore più alto","nc","quella dal valore più alto","2","class 1 o class 0 è poco significativo ","3","2","4","3","ci vorrebbe più contesto"
"2023/05/05 6:25:33 PM EEST","Magistrale","3","5","la feature 6","è la Barra più lunga","Nc ","è il più lungo ","5","sono chiaramente indicati in basso a destra e sono solo 2","5","2","5","1","credo che il questionario sia utile per capire le differenze fra le due librerie"
"2023/05/05 6:25:40 PM EEST","Triennale","2","3","6","Sull'asse orizzontale dovrebbe esserci l'impatto medio della frature sul modello e la feature 6 ha la linea più lunga","No","Non riesco a capirlo","1","Non riesco a capirlo","2","2","3","3","Non so"
"2023/05/05 6:25:56 PM EEST","Triennale","2","4","Feature 6","Ha più colore","NC=0","È quella più alta","1","Non so di cosa si parla","3","3","3","3","Bho"
"2023/05/05 6:26:19 PM EEST","Triennale","2","5","Feature 6","mi sono basato sulla grandezza della barra","No","non credo che le informazioni siano leggibili in questo modo","4","la legenda mi sembra chiara","4","2","3","2","Si, credo sia stato utile"
"2023/05/05 6:26:21 PM EEST","Triennale","2","5","feature 6","mi sono basato sulla grandezza della barra","no","non riesco a comprendere l'immagine","5","sta scritto nella legenda","5","2","4","2","si credo sia stato utile"
"2023/05/05 6:28:01 PM EEST","Triennale","2","4","Feature 6","la barra è più grande","NC=0","La barra è più grande","4","c'è la legenda in basso a destra molto visibile","4","2","4","2","SI"
"2023/05/05 6:28:10 PM EEST","Magistrale","2","5","6","È la più lunga ","Nc-0","È quella più in alto","5","C'è la legenda in basso a destra facile da comprendere","4","1","5","2","Si è utile per capire quale scegliere in caso di necessità"
"2023/05/05 6:30:13 PM EEST","Lavoro ","2","4","Feature 6","Mhhh mi sembrano tutte al 50% classe 1 e classe 2 ","No","Non so","5","Alle 2 classi","3","2","2","1","Non so"
"2023/05/05 6:30:17 PM EEST","Triennale","2","4","La feature 6","È la feature che risulta essere maggiore sia rispetto la classe 1 che la classe 0","No","I grafi in figura non sono molto chiari","4","Perché è presente una piccola legenda che identifica ogni colore","4","2","4","2","Molto rilevanti specialmente per chiarire cosa puo essere usato e cosa no"
