"Informazioni cronologiche","Qual è il tuo corso di laurea in informatica?","Nel corso del tuo percorso universitario a quanti progetti di gruppo hai partecipato?","Nel corso del tuo percorso universitario quante volte hai utilizzato GitHub per un progetto?","Durante la partecipazione ad un progetto potrebbe capitare di avere all'interno del team sottogruppi isolati e mancanza di comunicazione, come ad esempio: un membro del team che lavora in modo autonomo senza comunicare con gli altri. Hai mai rilevato la presenza di questi sottogruppi e la mancanza di comunicazione all'interno del tuo team?","Su una scala da 1 a 5 quanto pensi possa essere rilevante per la creazione di sottogruppi avere sviluppatori principali nel team? ","Se alla domanda precedente hai risposto con un punteggio compreso tra 1-2, da cosa pensi possa dipendere la creazione di sottogruppi all'interno di un team?","Durante la partecipazione ad un progetto potrebbe capitare di percepire un sovraccarico di informazioni dovuto ad una mancanza di comunicazione e collaborazione, come ad esempio: un membro che modifica autonomamente un documento senza notificarlo agli altri membri. Hai mai percepito un sovraccarico di informazioni 
all'interno del tuo team?","Su una scala da 1 a 5 quanto pensi possa essere rilevante per il sovraccarico di informazioni avere delle relazioni attive tra i membri del team?   ","Se alla domanda precedente hai risposto con un punteggio compreso tra 1-2, da cosa pensi possa dipendere il sovraccarico di informazioni all'interno di un team?","Durante la partecipazione ad un progetto potrebbe capitare di avere dei cambiamenti lungo il percorso e dei membri che non sono disposti ad attuarli, a causa di una collaborazione inefficiente, come ad esempio: la necessità di modificare alcuni requisiti del sistema già implementati. Hai mai ritrovato nel tuo team delle persone non 
disposte ad accettare dei cambiamenti?","Su una scala da 1 a 5 quanto pensi possa essere rilevante il numero di giorni attivi di un membro su un progetto per avere una collaborazione più efficiente?","Se alla domanda precedente hai risposto con un punteggio compreso tra 1-2, da cosa pensi possa dipendere una collaborazione inefficiente all'interno di un team?","Durante la partecipazione ad un progetto potrebbe capitare di avere una mancanza di scambio di informazioni di alta qualità, come ad esempio: un incontro in presenza con il tuo team. Ti è mai capitato di avere una tale problematica all'interno del tuo team?","Su una scala da 1 a 5 quanto pensi siano rilevanti i commenti tossici in una discussione per lo scambio di informazioni di alta qualità?","Su una scala da 1 a 5 quanto pensi sia rilevante il numero medio di sviluppatori per comunità per lo scambio di informazioni di alta qualità?","Se nelle ultime due domande precedenti hai risposto con un punteggio compreso tra 1-2, da cosa pensi possa dipendere la mancanza di scambio di informazioni di alta qualità all'interno di un team?","Durante la partecipazione ad un progetto potrebbe capitare di avere un disallineamento tra diversi livelli
di competenza tra le persone coinvolte ,come ad esempio: un membro che ha sostenuto tutti gli esami precedenti ed uno che ne ha alcuni mancanti. Ti è mai capitato di percepire un disallineamento nel tuo team?","Su una scala da 1 a 5 quanto pensi sia rilevante per un disallineamento all'interno di un team il numero medio di sviluppatori nel progetto? ","Se nella domanda precedente hai risposto con un punteggio compreso tra 1-2, da cosa pensi possa dipendere un disallineamento all'interno di un team?","Durante la partecipazione ad un progetto potrebbe capitare di avere membri con background differenti, come ad esempio: un membro che ha competenze di sicurezza e un membro che ha competenze di intelligenza artificiale. Ti è mai capitato di lavorare con membri aventi background differenti?  ","Su una scala da 1 a 5 quanto pensi siano rilevanti le relazioni attive in un team nel momento in cui ci sono background differenti tra i membri?","Su una scala da 1 a 5 quanto pensi sia rilevante la percentuale di sviluppatori principali in un team nel momento in cui ci sono background differenti tra i membri?","Se nelle ultime due domande precedenti hai risposto con un punteggio compreso tra 1-2, da cosa pensi possa dipendere la presenza di membri con background differenti all'interno di un team?","Durante la partecipazione ad un progetto potrebbe capitare di avere un elevata formalità delle procedure regolari dovuta ad un organizzazione strutturale inefficiente, come ad esempio: la mancata organizzazione all'inizio del progetto e il successivo sovraccarico di sviluppo . Ti è mai capitato di percepire un'organizzazione strutturale inefficiente nel tuo team?","Su una scalda da 1 a 5 quanto pensi sia rilevante avere delle relazioni attive nel team per avere una buona organizzazione strutturale ?","Se nella domanda precedente hai risposto con un punteggio compreso tra 1-2, da cosa pensi possa dipendere una buona organizzazione  strutturale nel team?","Durante la partecipazione ad un progetto potrebbe capitare di avere pochi sviluppatori su cui è concentrata gran parte delle informazioni, come ad esempio: un membro che conosce tutta la procedura di sviluppo del progetto e altri no. Ti è mai capitato di notare nel tuo team di avere gran parte delle informazioni concentrate su pochi membri?","Su una scala da 1 a 5 quanto pensi sia rilevante il numero medio di sviluppatori per report nell'avere gran parte delle informazioni concentrate su pochi membri?","Su una scala da 1 a 5 quanto pensi siano rilevanti gli impegni degli sviluppatori nell'avere gran parte delle informazioni concentrate su pochi membri?","Se nelle ultime due domande precedenti hai risposto con un punteggio compreso tra 1-2, da cosa pensi possa dipendere l'avere gran parte delle informazioni concentrate su pochi membri?","Durante la partecipazione ad un progetto potrebbe capitare di avere discussioni lente, leggere, brevi e/o conversazioni scadenti con il tuo team.
Ti è mai capitato di notare tali problematiche nel tuo team?","Su una scala da 1 a 5 quanto pensi sia rilevante per avere discussioni lente, leggere, brevi e/o conversazioni scadenti il numero di commit dei membri in un progetto?","Se nell'ultima domanda precedente hai risposto con un punteggio compreso tra 1-2, da cosa pensi possa dipendere la presenza di discussioni lente, leggere, brevi e/o conversazioni scadenti all'interno di un team?","Durante la partecipazione ad un progetto potrebbe capitare di avere comunicazioni tra i membri soggette a conversazioni tossiche e sentimenti negativi. Ti è mai capitato di assistere a queste conversazioni nel tuo team?","Su una scala da 1 a 5 quanto pensi sia rilevante il numero totale di richiese di pull in queste conversazioni tossiche?","Se nell'ultima domanda precedente hai risposto con un punteggio compreso tra 1-2, da cosa pensi possa dipendere la presenza di  conversazioni tossiche e sentimenti negativi all'interno di un team?"
"2023/05/05 6:25:45 PM EEST","Magistrale","5-8","3-5","4","5","","5","5","","2","5","","4","4","3","","4","3","","2","3","3","","2","5","","5","3","3","","4","3","","3","2","diversità di background o di vedute"
"2023/05/05 6:31:48 PM EEST","Triennale","3-5","1-3","1","4","","1","5","","1","5","","1","5","3","","3","4","","5","5","5","","3","5","","4","5","5","","1","5","","1","5",""
"2023/05/05 6:31:52 PM EEST","Triennale","3-5","1-3","1","4","","1","5","","1","5","","1","5","3","","3","4","","5","5","5","","3","5","","5","5","5","","1","4","","1","5",""
"2023/05/05 6:32:23 PM EEST","Triennale","3-5","1-3","2","4","","3","5","","4","5","","2","3","3","","4","4","","5","5","4","","2","4","","4","3","4","","2","4","","3","3",""
"2023/05/05 6:32:40 PM EEST","Magistrale","3-5","3-5","5","3","","4","3","","3","5","","5","1","4","","5","4","","5","5","5","","5","4","","4","3","4","","4","3","","3","5",""
"2023/05/05 6:34:23 PM EEST","Magistrale","3-5","3-5","5","5","","4","5","","3","5","","5","5","5","","4","5","","2","5","5","","5","5","","5","5","5","","3","1","se le persone non sono sullo stesso livello di abilità oppure non hanno stretto un buon rapporto ","1","1","se due persone non sono d'accordo può portare litigare e avere conversazioni tossiche "
"2023/05/05 6:46:14 PM EEST","Triennale","3-5","3-5","3","3","","2","4","","2","4","","2","3","3","","2","2","Il fatto che componenti del team non abbiano lo stesso numero di esami penso sia irrilevante se i componenti del team hanno voglia di fare","3","3","3","","2","3","","2","2","3","","2","3","","2","3",""
"2023/05/05 6:51:58 PM EEST","Magistrale","5-8","3-5","3","4","","3","5","","3","5","","3","1","4","","3","3","","5","5","5","","4","5","","4","5","4","","5","4","","4","2",""
"2023/05/05 7:10:53 PM EEST","Triennale","1-3","3-5","2","5","","3","4","","1","3","","2","4","5","","4","3","","4","5","5","","4","5","","3","3","4","","2","4","","2","3",""
"2023/05/05 7:37:19 PM EEST","Magistrale","5-8","5-8","4","5","","4","5","","2","5","","5","3","5","","4","3","","2","4","4","","3","5","","3","5","5","","5","5","","2","3",""
"2023/05/05 8:09:55 PM EEST","Magistrale","5-8","3-5","4","4","","4","4","","2","3","","3","4","4","","5","5","","4","4","4","","3","5","","4","4","4","","2","5","scarsa preparazione, membri con scarsa capacità di lavorare in team. Scarsa dinamicità ","2","5","membri del team che si lasciano dominare dalle ansie e che tendono ad arrendersi rispetto a problemi di implementazione e simili"
"2023/05/05 8:24:36 PM EEST","Triennale","1-3","1-3","3","4","","4","4","","3","4","","2","4","4","","4","3","","2","4","2","Per dividere in modo più efficace il lavoro affidando ad ognuno ciò in cui è più esperto ","4","4","","5","4","4","","4","2","Poco utilizzo di strumenti di comunicazione e mancanza di incontri ","3","4",""
"2023/05/05 10:08:17 PM EEST","Triennale","1-3","1-3","3","4","","3","5","","5","5","","2","5","5","","1","4","","5","5","5","","1","5","","4","4","5","","4","5","","4","5",""
"2023/05/05 10:54:44 PM EEST","Magistrale","3-5","5-8","3","5","","3","5","","4","3","","4","2","4","Ho risposto 2 perché non credo di aver capito cosa si intende per commenti tossici","3","4","","2","5","4","","3","4","","4","3","4","","3","3","","3","1","Non credo che il numero di pull request incida sulla conversazione che ha un team"
"2023/05/08 7:29:16 PM EEST","Magistrale","8+","8+","5","3","","5","5","","5","5","","5","5","5","","5","5","","5","5","5","","5","5","","5","5","5","","5","5","","5","5",""
"2023/05/09 2:22:55 PM EEST","Magistrale","3-5","5-8","2","1","Coesione tra le diverse persone del sottogruppo. Credo in un sistema gerarchico dove ogni sottogruppo si gestisce internamente e dove tutti sono alla pari in responsabilità etc. Le figure gerarchicamente superiori si occupano di unire i vari sottogruppi.","2","4","","2","4","","3","1","3","","1","3","","3","4","4","","2","3","","4","3","3","","2","2","Sicuramente non è strettamente collegato al numero di commit giornalieri, in generale direi che dipende dai legami che si creano tra le varie figure nel team. Tutto dipende dalle personalitá.","2","3",""
"2023/05/10 9:23:13 PM EEST","Triennale","1-3","1-3","3","4",".","3","4",".","5","5","","4","1","4","","3","3","","4","3","3","","4","3","","4","4","3","","3","2","","4","3",""
"2023/05/11 11:44:46 AM EEST","dottorato","5-8","3-5","3","3","","2","4","","2","3","","2","5","3","","3","5","","1","3","4","","2","5","","2","3","4","","3","3","","1","1","scarsa intesa/collaborazione tra i membri del team"
