Author,Closeness,Betweenness,Centrality
ramakumar1729,0.6204202034796219,0.4006762749878302,0.4979591836734694
AllenShow,0.3735745097328452,0.0,0.012244897959183675
korosig,0.4409275659949515,0.004463699751421403,0.036734693877551024
BloodD,0.4164800969892908,0.0,0.00816326530612245
dandanmylady,0.3735745097328452,0.007561057209769154,0.00816326530612245
SushantAI,0.37225212208777314,0.0,0.004081632653061225
Ekkalak-T,0.45036926976357994,0.0006310464005345237,0.02448979591836735
prakhar2811,0.4418538844109072,0.0009441370817733268,0.028571428571428574
iamhere1,0.37759865166892614,0.0,0.020408163265306124
nishathussain,0.4446563403374035,0.005475047326132883,0.04489795918367347
xuanhuiwang,0.5924576027594136,0.33378988482448974,0.43673469387755104
ChaosCY,0.4164800969892908,0.0,0.00816326530612245
eggie5,0.5080252390811397,0.10206398711595394,0.2163265306122449
bendersky,0.5392883307169022,0.15671940966937117,0.2979591836734694
vkaul11,0.43908653231647565,0.002570710208716232,0.0326530612244898
virattt,0.3742392330597719,0.0,0.00816326530612245
martinbomio,0.4181360814703615,0.0,0.0163265306122449
bduclaux,0.40291656892642114,0.0,0.020408163265306124
lasclocker,0.37759865166892614,0.0,0.020408163265306124
Dinesh-Mali,0.45133572742401684,0.0019168957413353506,0.028571428571428574
fangkuann,0.4532811400422238,0.00347169358837141,0.036734693877551024
rishabhsshah,0.39386226400672625,0.0,0.012244897959183675
vbod,0.4164800969892908,0.0,0.00816326530612245
LiangqunLu,0.4653151526097164,0.007785120296543759,0.0489795918367347
biggestT,0.3953429492097591,0.0,0.0163265306122449
nzhiltsov,0.3953429492097591,0.0,0.0163265306122449
ZhouM1118,0.38310099996282665,0.0002509200401472064,0.020408163265306124
dartrevan,0.4164800969892908,0.0,0.00816326530612245
nalin-mathur,0.40061418853255587,0.0,0.00816326530612245
rkonowk,0.37759865166892614,0.0,0.020408163265306124
xxllp,0.37225212208777314,0.0,0.004081632653061225
nm-narasimha,0.4437182467923878,0.002798690194976577,0.036734693877551024
sbruch,0.4602241771982316,0.015621229259569833,0.0653061224489796
pentney,0.37225212208777314,0.0,0.004081632653061225
PeterAJansen,0.4409275659949515,0.0003094288659342981,0.020408163265306124
filthysocks,0.3803299258220467,0.0,0.0163265306122449
Mistobaan,0.37225212208777314,0.0,0.004081632653061225
miguelwon,0.37225212208777314,0.0,0.004081632653061225
TalhaAsmal,0.42318400197100975,0.0016742274583525837,0.0326530612244898
felipeacunago,0.37225212208777314,0.0,0.004081632653061225
utopn,0.3782777859345177,0.0,0.012244897959183675
masunomatiko,0.4189690218716969,0.0,0.0163265306122449
gabegrand,0.37225212208777314,0.0,0.004081632653061225
hazardwayne,0.4164800969892908,0.0,0.00816326530612245
RodrigoVillatoro,0.37692195157632946,0.0,0.00816326530612245
weilonghu,0.3742392330597719,0.0,0.012244897959183675
rbrackney,0.41402056885746424,4.009651550635157e-05,0.020408163265306124
J-Mourad,0.37692195157632946,0.0,0.020408163265306124
Walrusbane,0.3729121435808366,0.0,0.00816326530612245
jpvelez,0.4181360814703615,0.0,0.0163265306122449
zenogantner,0.3735745097328452,0.0,0.012244897959183675
vdv1g16,0.438171768707483,0.00018273351495164808,0.020408163265306124
283222278,0.37225212208777314,0.0,0.004081632653061225
charleystran,0.37895936753079607,0.0,0.012244897959183675
davidcereal,0.4206448979591837,0.0020025012346859103,0.02448979591836735
lyyanlely,0.45623090884944,0.04678116333686757,0.0489795918367347
VikashPeddakota999,0.3742392330597719,0.0,0.00816326530612245
sleepsophia,0.4189690218716969,0.0,0.0163265306122449
n3011,0.37759865166892614,0.0,0.020408163265306124
Pascal-Iv,0.4484487185065924,0.0018439343824087882,0.04081632653061225
wmelton,0.37225212208777314,0.0,0.004081632653061225
azagniotov,0.4552433960597226,0.018453258429553084,0.0816326530612245
ELind77,0.40291656892642114,0.0,0.020408163265306124
currylym,0.40291656892642114,0.0,0.0163265306122449
vitalyli,0.3817104337197674,0.009998517894135158,0.0163265306122449
franckjay,0.37692195157632946,0.0,0.00816326530612245
2012060010010,0.3990938310808194,0.001201349392215903,0.036734693877551024
davemssavage,0.37759865166892614,0.0,0.020408163265306124
nscozzaro,0.3782777859345177,0.0,0.00816326530612245
hopeemac,0.3735745097328452,0.0,0.012244897959183675
kshitij91,0.4164800969892908,0.0,0.00816326530612245
whatsmyname,0.41730644638807907,0.0,0.012244897959183675
sjhermanek,0.41483717747454013,0.000713253792042685,0.02448979591836735
graviraja,0.41402056885746424,4.009651550635157e-05,0.020408163265306124
lorenzospataro,0.3735745097328452,0.0,0.012244897959183675
kkonevets,0.4257539453028175,0.0012770747523173083,0.02448979591836735
mathemakitten,0.40291656892642114,0.0,0.0163265306122449
amir-rahnama,0.41730644638807907,0.0007463017633643264,0.012244897959183675
yzhangswingman,0.4214878737065969,0.00045829537549176225,0.028571428571428574
nkg114mc,0.37225212208777314,0.0,0.004081632653061225
vishnuapp,0.4123969587835134,0.0,0.012244897959183675
MathildaSu,0.401378719426702,0.0,0.012244897959183675
daanvdn,0.40291656892642114,0.0,0.020408163265306124
mayank953,0.4602241771982316,0.012344458526688109,0.06122448979591837
Wentong-DST,0.3729121435808366,0.0,0.00816326530612245
samanemami,0.3729121435808366,0.0,0.00816326530612245
siamakz,0.3729121435808366,0.0,0.00816326530612245
anirbanblackbuck,0.3873341601834104,0.0057213889415294525,0.028571428571428574
Gaby71,0.4198052873844148,0.007561057209769155,0.020408163265306124
divyakyatam,0.37225212208777314,0.0,0.004081632653061225
mbw314,0.4181360814703615,0.0010159186650620152,0.0326530612244898
