Author,Closeness,Betweenness,Centrality
ramakumar1729,0.6174806565588801,0.38844395065872167,0.5019455252918288
AllenShow,0.370488393935328,0.0,0.011673151750972763
korosig,0.43498637344633656,0.003303488961319704,0.03501945525291829
BloodD,0.4116537710392534,0.0,0.007782101167315175
dandanmylady,0.370488393935328,0.007113326848249027,0.007782101167315175
SushantAI,0.36921523794242317,0.0,0.0038910505836575876
Ekkalak-T,0.4439736952117567,0.0002585611535027879,0.023346303501945526
prakhar2811,0.4358686987474447,0.0008604112092938122,0.027237354085603113
iamhere1,0.3737100321434614,0.0,0.019455252918287938
nishathussain,0.43853728261732705,0.004921251829790539,0.042801556420233464
xuanhuiwang,0.588721283513672,0.3194943278080887,0.4396887159533074
eggie5,0.5032395046428343,0.10019522367446215,0.2178988326848249
bendersky,0.5279687186301971,0.14359663252267785,0.2840466926070039
vkaul11,0.43323239613405296,0.0020046180876005,0.0311284046692607
virattt,0.37112827026336837,0.0,0.007782101167315175
ChaosCY,0.4116537710392534,0.0,0.007782101167315175
martinbomio,0.41323705477401973,0.0,0.01556420233463035
bduclaux,0.3979319786712783,0.0,0.019455252918287938
lasclocker,0.37436109491723046,0.0,0.019455252918287938
Dinesh-Mali,0.44489289540888255,0.0017662198827842052,0.027237354085603113
fangkuann,0.4486080761638628,0.0035261655986820162,0.038910505836575876
rishabhsshah,0.3906968517863459,0.0,0.011673151750972763
vbod,0.4116537710392534,0.0,0.007782101167315175
LiangqunLu,0.4581732803464611,0.007217028218541763,0.04669260700389105
biggestT,0.3921227527052742,0.0,0.01556420233463035
nzhiltsov,0.3921227527052742,0.0,0.01556420233463035
ZhouM1118,0.37965241781358705,0.00022799124513618672,0.019455252918287938
dartrevan,0.4116537710392534,0.0,0.007782101167315175
nalin-mathur,0.3957334594520999,0.0,0.007782101167315175
we1559,0.4156349487088786,0.0015675302830276082,0.023346303501945526
rkonowk,0.37436109491723046,0.0,0.019455252918287938
sbruch,0.4533402288660132,0.014664380943715805,0.0622568093385214
xxllp,0.36921523794242317,0.0,0.0038910505836575876
nm-narasimha,0.43764413132890073,0.002333030353914352,0.03501945525291829
pentney,0.36921523794242317,0.0,0.0038910505836575876
PeterAJansen,0.43498637344633656,0.0002834124136666119,0.019455252918287938
filthysocks,0.37698819032015835,0.0,0.01556420233463035
Mistobaan,0.36921523794242317,0.0,0.0038910505836575876
miguelwon,0.36921523794242317,0.0,0.0038910505836575876
TalhaAsmal,0.41887576702239815,0.0013615056402613373,0.0311284046692607
felipeacunago,0.36921523794242317,0.0,0.0038910505836575876
utopn,0.3750144301614141,0.0,0.011673151750972763
masunomatiko,0.4140332726059543,0.0,0.01556420233463035
gabegrand,0.36921523794242317,0.0,0.0038910505836575876
hazardwayne,0.4116537710392534,0.0,0.007782101167315175
RodrigoVillatoro,0.3737100321434614,0.0,0.007782101167315175
weilonghu,0.3756700497945634,6.970018065591995e-05,0.01556420233463035
rbrackney,0.4100825734398669,3.643254038438864e-05,0.019455252918287938
J-Mourad,0.3789828368297888,0.001746329424466585,0.027237354085603113
Walrusbane,0.3698507202796734,0.0,0.007782101167315175
jpvelez,0.41323705477401973,0.0,0.01556420233463035
zenogantner,0.4148325646380121,0.0005386021748193437,0.019455252918287938
vdv1g16,0.4323607011720126,0.00016603552899759126,0.019455252918287938
283222278,0.36921523794242317,0.0,0.0038910505836575876
pingsutw,0.3737100321434614,0.0,0.007782101167315175
charleystran,0.3756700497945634,0.0,0.011673151750972763
