Author,Closeness,Betweenness,Centrality
ramakumar1729,0.6050420168067226,0.18518518518518517,0.5
we1559,0.45714285714285713,0.0,0.10714285714285714
sbruch,0.3609022556390977,0.0,0.03571428571428571
zenogantner,0.45714285714285713,0.0,0.10714285714285714
xuanhuiwang,0.5714285714285714,0.07892416225749559,0.42857142857142855
davemssavage,0.44720496894409933,0.0,0.07142857142857142
googlebot,0.7912087912087912,0.4440035273368606,0.7857142857142857
pingsutw,0.44720496894409933,0.0,0.07142857142857142
amrzv,0.3609022556390977,0.0,0.03571428571428571
lyyanlely,0.45714285714285713,0.0,0.10714285714285714
levyfan,0.45714285714285713,0.0,0.10714285714285714
jplu,0.44720496894409933,0.0,0.07142857142857142
muik,0.44720496894409933,0.0,0.07142857142857142
weilonghu,0.44720496894409933,0.0,0.07142857142857142
eggie5,0.4784053156146179,0.006172839506172838,0.17857142857142855
cloverrose,0.43768996960486317,0.0,0.10714285714285714
FroilanYue,0.42857142857142855,0.0,0.07142857142857142
fangkuann,0.42857142857142855,0.0,0.07142857142857142
J-Mourad,0.42857142857142855,0.0,0.07142857142857142
yzhangswingman,0.41982507288629733,0.0,0.03571428571428571
Wentong-DST,0.42857142857142855,0.0,0.07142857142857142
lc0,0.43768996960486317,0.0,0.10714285714285714
johnvorsten,0.43768996960486317,0.0,0.10714285714285714
nadavdev,0.43768996960486317,0.0,0.10714285714285714
Jmexperiment100,0.42857142857142855,0.0,0.07142857142857142
renyi533,0.0,0.0,0.0
zhduan,0.0,0.0,0.0
RonsenbergVI,0.0,0.0,0.0
chunduriv,0.0,0.0,0.0
